id;jhi_object;description;creation_date;modification_date;closed_date;contributor;contributor_visibility;entity_visibility;direction_visibility;central_animator;central_relay;regional_relay;state_ticket;status_ticket;pertinence
1;out-of-the-box Grocery SMTP;bus;2022-07-04T20:45:31;2022-07-04T19:51:24;2022-07-04T11:06:14;deliverables Industrial SDD;true;true;false;quantifying;quantifying Plastic;Concrete payment;OPENED;CREATED;false
2;frictionless ubiquitous Unbranded;Savings Alsace;2022-07-04T07:27:17;2022-07-04T21:38:55;2022-07-04T17:44:01;Handcrafted enable;false;false;false;Outdoors Fantastic Bûcherie;Afghani Lorraine;deposit;CLOSED;CREATED;false
3;redundant communities deposit;c;2022-07-04T03:24:27;2022-07-04T06:15:27;2022-07-04T18:42:30;Multi-layered;true;true;false;payment expedite;mission-critical;Innovative utilize Kids;CLOSED;IN_PROGRESS;true
4;b Concrete holistic;Sausages;2022-07-04T20:40:58;2022-07-04T16:12:16;2022-07-04T20:24:15;unis Antillian Computer;true;true;false;neural Licensed Refined;payment Steel c;a matrix;CLOSED;CREATED;false
5;Movies calculating Plastic;e-business Cheese magenta;2022-07-04T11:58:55;2022-07-04T22:25:04;2022-07-04T08:12:57;Extended;false;false;true;multi-byte Handcrafted transmitter;online;emulation bricks-and-clicks Consultant;OPENED;IN_PROGRESS;true
6;b Account purple;deposit magenta;2022-07-04T06:56:52;2022-07-04T16:02:55;2022-07-04T12:54:22;b programming;true;true;true;bandwidth-monitored Garden;Avon metrics;Team-oriented Kwanza;OPENED;IN_PROGRESS;true
7;Account;program viral Unbranded;2022-07-04T13:04:46;2022-07-04T10:14:44;2022-07-04T19:13:00;b;true;true;true;Kip Cotton unleash;b bus;azure;CLOSED;CREATED;false
8;purple;tan Canada;2022-07-04T20:05:34;2022-07-03T23:28:13;2022-07-04T17:45:22;Pants Home;true;false;true;Practical de;Executif Soft Home;needs-based overriding Plastic;CLOSED;CONFIRMED;true
9;Agent Lorraine Metal;HTTP;2022-07-04T08:00:40;2022-07-04T07:02:42;2022-07-04T09:27:05;Bacon Executif Francs-Bourgeois;true;false;false;Slovaquie connecting;programming morph Handcrafted;schemas;CLOSED;CONFIRMED;true
10;core online solutions;SAS help-desk navigate;2022-07-04T06:03:52;2022-07-04T03:58:02;2022-07-04T14:50:14;users Clothing backing;true;true;true;Developpeur Soft efficient;drive;Organic;CLOSED;CREATED;false
